prompts,feelings
i feel radiant bright accomplished and happy,"Joy, Pride, Excitement"
i feel refrigerator magnets that were so popular a few years ago,"Nostalgia, Contentment, Curiosity"
i am feeling very touch deprived with all that has been happening,"Loneliness, Sadness, Nostalgia"
i am feeling apprehensive about it but also wildly excited,"Excitement, Optimism, Eagerness"
i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,"Contentment, Serenity, Peacefulness"
i am a quiet person but what i have to say i feel is important,"Importance, Determination, Pride"
i think i started to feel a little homesick,"Nostalgia, Sadness, Loneliness"
i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,"Eagerness, Optimism, Curiosity"
i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,"Discomfort, Insecurity, Anxiety"
im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,"Reluctance, Contentment, Pride"
i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,"Independence, Determination, Optimism"
im feeling rather angsty and listless,"Restlessness, Melancholy, Frustration"
i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,"Compassion, Empathy, Sadness"
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,"Discomfort, Uncertainty, Anxiety"
i feel gloomy and tired,"Melancholy, Tiredness, Sadness"
i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,"Love, Gratitude, Joy"
i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,"Determination, Discomfort, Frustration"
i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,"Privilege, Joy, Gratitude"
i feel like im at the spa getting a wonderful facial when i use them,"Relaxation, Satisfaction, Serenity"
i feel petty all of a sudden,"Surprise, Reflection, Embarrassment"
i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,"Empathy, Solidarity, Hope"
i feel slightly disgusted as well,"Disgust, Reflection, Judgment"
i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,"Surprise, Gratitude, Contentment"
i feel slightly relaxed being a,"Calm, Serenity, Contentment"
i feel shy to admit that i was struggling to haul a single computer up,"Shyness, Effort, Satisfaction"
i just went about my script of would you like mustard or sauce with that and started to feel really startled,"Surprise, Anxiety, Curiosity"
i enjoy my colleagues i m not feeling very sociable today,"Introversion, Discomfort, Reflection"
im feeling and if ive liked being pregnant,"Anticipation, Fear, Anxiety"
i then feel your tender touch as you enfold me with his love,"Tenderness, Protection, Love"
i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,"Loss, Grief, Loyalty"
i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,"Distrust, Anxiety, Reflection"
i feel i m being nutritionally supportive of it as well,"Support, Satisfaction, Pride"
i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,"Impatience, Motivation, Determination"
i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,"Determination, Inspiration, Aspiration"
i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,"Amusement, Observation, Curiosity"
i feel embarrassed that it got so bad,"Embarrassment, Regret, Sadness"
im feeling really bitter about this one,"Bitterness, Resentment, Sadness"
i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,"Bravery, Adventure, Optimism"
i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,"Optimism, Joy, Gratitude"
i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,"Loss, Desolation, Sadness"
i feel defeated but others i feel refreshed,"Refreshment, Optimism, Relief"
i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,"Vulnerability, Empathy, Understanding"
i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,"Relief, Reflection, Contentment"
im with a group of people i still feel isolated and on the outside looking in,"Isolation, Loneliness, Observation"
i feel blessed to know this family,"Gratitude, Joy, Blessed"
i feel terrified because my landlord has not changed our locks yet,"Terrified, Fear, Anxiety"
i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,"Grateful, Sharing, Optimism"
i don t like eating meals that feel too virtuous,"Discontent, Discomfort, Pride"
i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,"Thrilled, Excitement, Optimism"
i feel kinda weird when andrea tries to talk to me about chris,"Confusion, Weirdness, Curiosity"
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,"Pride, Respect, Satisfaction"
i feel was pretty triumphant,"Triumphant, Pride, Satisfaction"
im enjoying my solitary confinement at home i rarely feel lonely,"Contentment, Peace, Solitude"
i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,"Determination, Strong, Resolution"
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,"Dislike, Anticipation, Fear"
i feel so lousy but i shouldnt be focusing on me now,"Lousy, Tiredness, Self-focus"
i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,"Exhaustion, Overwhelm, Determination"
i wrote two years ago so many things i feel unsure of maybe,"Uncertainty, Reflection, Doubt"
i feel suspicious of informality and a lack of credentials,"Suspicion, Doubt, Caution"
i receive every month make me proud and feel appreciative,"Pride, Gratitude, Joy"
i feel that third situation pretty much sums up my feelings toward this title,"Reflection, Realization, Understanding"
i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,"Desire, Anticipation, Eagerness"
i feel more gentle that way wth,"Gentleness, Reflection, Calm"
i got home feeling hot tired and great,"Tired, Satisfaction, Great"
i feel more creative,"Creative, Inspiration, Joy"
i feel so talented i can use a computer,"Talent, Pride, Contentment"
i feel unfathomably rich in having had a healthy pregnancy so far,"Richness, Gratitude, Health"
i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,"Sympathetic, Reflection, Curiosity"
i don t want them to feel so pressured,"Pressured, Concern, Care"
i still feel frightened of the world yet no where near as much as i used to,"Frightened, Fear, Improvement"
im not feeling mellow,"Discontent, Restlessness, Alertness"
i wake too early so i feel grumpy,"Grumpy, Tiredness, Irritation"
i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,"Humiliated, Determination, Self-awareness"
i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,"Delighted, Exhausted, Privilege"
i was remembering this i was feeling skeptical,"Skeptical, Reflection, Realization"
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,"Strength, Confidence, Determination"
i feel dirty talking to people for my personal gain,"Discomfort, Self-interest, Reflection"
i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,"Cold, Reflection, Memory"
i feel numb as i carry on and i wonder if i will get over it,"Numb, Wonder, Reflection"
i was somewhat coerced into this blog review so i feel a bit rushed and flustered,"Rushed, Coerced, Flustered"
i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,"Jealousy, Contentment, Partnership"
im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,"Uncertainty, Exercise, Mood"
i feel alarmed,"Alarm, Alertness, Awareness"
i think i wanted audiences to feel impressed inspired or entertained when i was on stage,"Impressed, Inspired, Entertained"
i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,"Illness, Tiredness, Escape"
i have these terrible feelings that i hyped myself up to be more talented than i am,"Doubt, Fear, Talent"
i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,"Anticipation, Uncertainty, Preparation"
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,"Anger, Frustration, Disappointment"
i feel like i cant be respected if i have self respect because it is so regular to now hate your self,"Respect, Self-respect, Reflection"
i smiled at him feeling his longing and said maybe later buddy but i have to make lunch now,"Longing, Anticipation, Responsibility"
i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,"Unfortunate, Drained, Restlessness"
i am feeling rather damaged,"Damaged, Reflection, Sadness"
i said i feel ugly today,"Ugly, Self-image, Reflection"
i left my garmin on my bike so i was going to have to do this by feel coming out of transition its amazing hearing cheers and your adrenaline is just going crazy,"Excitement, Adrenaline, Determination"
i feel so smart when i find ways to trick myself like this,"Smart, Creativity, Self-deception"
i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,"Inhibition, Dance, Self-consciousness"
i feel like cards are the perfect thing to make with them,"Creativity, Joy, Satisfaction"
i feel like some heroine of some tragic manga,"Heroism, Tragedy, Reflection"
i just feel safer than working part time casual at hr,"Safety, Work, Stability"
i was ambushed again it was apparently my fault again i feel worthless,"Worthlessness, Ambush, Blame"
i feel privileged to be a part of something so eternal and so precious to the lord jesus he shed his blood so that churches like this could exist,"Privileged, Eternal, Precious"
i feel wholly inadequate to the task before me,"Inadequate, Task, Doubt"
i have a feeling this is a bit naughty scanning an article from a magazine but i know that so many people would love to read thi,"Naughty, Interest, Anticipation"
i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,"Anxious, Isolation, Concern"
i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,"Joining, Rebellion, Peace"
i feel disillusioned with the occult so i have come to feel a greater connection to the earth,"Disappointment, Curiosity, Serenity"
i feel stupid whenever this happens,"Embarrassment, Frustration, Sadness"
i come home and feel so shitty i cant bring myself to do all the work i need to do,"Overwhelm, Sadness, Frustration"
i feel like my irritable sensitive combination skin has finally met it s match,"Contentment, Surprise, Relief"
i like it though its very over the top but makes me feel clever by association,"Pride, Excitement, Joy"
i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,"Stress, Anticipation, Optimism"
i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,"Disappointment, Sadness, Frustration"
i hope everyone can help with charity work without feeling stressed about such things,"Hopefulness, Gratitude, Relief"
i feel so guilty for putting my child in daycare,"Guilt, Sadness, Remorse"
i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,"Anger, Sadness, Disappointment"
i feel blessed beyond blessed to share my life with you each week,"Joy, Gratitude, Love"
i feel devastated over things that i have lost i will remind myself to be grateful for what i still have,"Sadness, Gratitude, Hopefulness"
im feeling energetic,"Excitement, Joy, Euphoria"
i have come to understand that feelings are neither positive nor negative,"Curiosity, Ambivalence, Reflection"
i just don t like to be asked about the reason behind my mood when i m feeling gloomy laughs,"Sadness, Disappointment, Loneliness"
i feel really bothered about the lack of time i get to find inspiration,"Frustration, Overwhelm, Disappointment"
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,"Stress, Anxiety, Frustration"
i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,"Sadness, Frustration, Disappointment"
i realized what i am passionate about helping women feel accepted and appreciated,"Empathy, Compassion, Pride"
i could change the emphasis and say i am stella and i m noticing i m feeling impatient,"Frustration, Impatience, Anxiety"
i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,"Disappointment, Frustration, Anxiety"
i feel so blessed and honored that we get to be its parents,"Joy, Love, Gratitude"
i do feel welcomed but it s a little weird,"Curiosity, Ambivalence, Contentment"
i feel like i entertained sd all day,"Joy, Excitement, Contentment"
ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,"Frustration, Tiredness, Disappointment"
i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,"Loneliness, Sadness, Reflection"
i didnt feel i rushed things dhawan tweet script type text javascript src http platform,"Impatience, Frustration, Anxiety"
i realized i was feeling really irritated while i was saying that,"Frustration, Anxiety, Disappointment"
i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,"Fear, Anticipation, Curiosity"
i feel so fucking worthless,"Worthlessness, Sadness, Frustration"
i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,"Disappointment, Sadness, Pessimism"
i feel devastated that my art style can be copied,"Contentment, Fine, Serenity"
i feel fine about feeling well fine,"Sadness, Empathy, Compassion"
i can only begin to feel how distraught she must be,"Faith, Curiosity, Disappointment"
i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,"Tiredness, Sadness, Empathy"
i think we were both feeling a little drained from work as well,"Calmness, Reassurance, Serenity"
i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,"Disappointment, Sadness, Boredom"
i feel crappy i eat crappy,"Numbness, Disappointment, Detachment"
i feel more of numb now,"Honor, Pride, Joy"
i feel extremely honoured to have received such a prestigious award,"Adventure, Success, Excitement"
im feeling adventurous and successful in my quest so far,"Thrilled, Excitement, Joy"
i feel so thrilled to have three such distinguished individuals such as yourselves here,"Disappointment, Sadness, Loneliness"
i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,"Emptiness, Sadness, Disappointment"
i was left feeling empty,"Superiority, Reflection, Pride"
i feel pretty much like this scene from a href http www,"Disgust, Frustration, Disappointment"
i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,"Fear, Anxiety, Anticipation"
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,"Sympathy, Compassion, Understanding"
i feel like a wimpy canoe floating towards a rising tsunami,"Loneliness, Sadness, Longing"
i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,"Love, Longing, Hopefulness"
i start to feel unloved and unappreciated,"Awkwardness, Discomfort, Curiosity"
i just want to know the feeling of loving and be loved,"Irritation, Frustration, Anger"
i feel strange talking about less serious things right now like cooking,"Sadness, Indifference, Disappointment"
i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,"Illness, Sadness, Frustration"
